BbF,BjF,BkF,Carbazole,DBahP
ENSDARG00000002026,ENSDARG00000002197,ENSDARG00000002847,ENSDARG00000001721,ENSDARG00000001968
ENSDARG00000003544,ENSDARG00000003902,ENSDARG00000003216,ENSDARG00000001760,ENSDARG00000002026
ENSDARG00000003902,ENSDARG00000005713,ENSDARG00000003902,ENSDARG00000001993,ENSDARG00000002231
ENSDARG00000004789,ENSDARG00000006220,ENSDARG00000006220,ENSDARG00000004358,ENSDARG00000003544
ENSDARG00000004931,ENSDARG00000006978,ENSDARG00000006868,ENSDARG00000007788,ENSDARG00000004931
ENSDARG00000005713,ENSDARG00000014626,ENSDARG00000014626,ENSDARG00000007823,ENSDARG00000005783
ENSDARG00000005915,ENSDARG00000017034,ENSDARG00000015654,ENSDARG00000010658,ENSDARG00000005786
ENSDARG00000006094,ENSDARG00000020086,ENSDARG00000017739,ENSDARG00000011640,ENSDARG00000005915
ENSDARG00000006220,ENSDARG00000023082,ENSDARG00000020086,ENSDARG00000012126,ENSDARG00000006094
ENSDARG00000008398,ENSDARG00000024775,ENSDARG00000021833,ENSDARG00000014233,ENSDARG00000006220
ENSDARG00000010565,ENSDARG00000027088,ENSDARG00000027088,ENSDARG00000016854,ENSDARG00000008372
ENSDARG00000012499,ENSDARG00000028012,ENSDARG00000030896,ENSDARG00000019532,ENSDARG00000008398
ENSDARG00000012586,ENSDARG00000030896,ENSDARG00000032571,ENSDARG00000019902,ENSDARG00000009493
ENSDARG00000012699,ENSDARG00000038729,ENSDARG00000036767,ENSDARG00000024746,ENSDARG00000010565
ENSDARG00000014854,ENSDARG00000043243,ENSDARG00000036840,ENSDARG00000026759,ENSDARG00000012468
ENSDARG00000016348,ENSDARG00000043442,ENSDARG00000042824,ENSDARG00000027236,ENSDARG00000012586
ENSDARG00000016490,ENSDARG00000051925,ENSDARG00000043243,ENSDARG00000027495,ENSDARG00000012699
ENSDARG00000016667,ENSDARG00000052215,ENSDARG00000043442,ENSDARG00000034007,ENSDARG00000013005
ENSDARG00000017034,ENSDARG00000055974,ENSDARG00000045768,ENSDARG00000036840,ENSDARG00000013020
ENSDARG00000017220,ENSDARG00000060439,ENSDARG00000052215,ENSDARG00000037921,ENSDARG00000013072
ENSDARG00000017365,ENSDARG00000061481,ENSDARG00000052618,ENSDARG00000038025,ENSDARG00000013828
ENSDARG00000018773,ENSDARG00000061634,ENSDARG00000052705,ENSDARG00000040252,ENSDARG00000014169
ENSDARG00000019949,ENSDARG00000061896,ENSDARG00000055534,ENSDARG00000040284,ENSDARG00000014854
ENSDARG00000019963,ENSDARG00000063661,ENSDARG00000060439,ENSDARG00000041382,ENSDARG00000016348
ENSDARG00000020845,ENSDARG00000068934,ENSDARG00000061481,ENSDARG00000041394,ENSDARG00000016439
ENSDARG00000021305,ENSDARG00000070331,ENSDARG00000061896,ENSDARG00000042816,ENSDARG00000016490
ENSDARG00000025206,ENSDARG00000070578,ENSDARG00000062632,ENSDARG00000042872,ENSDARG00000016667
ENSDARG00000026988,ENSDARG00000071173,ENSDARG00000063661,ENSDARG00000043806,ENSDARG00000016788
ENSDARG00000027088,ENSDARG00000071567,ENSDARG00000068876,ENSDARG00000052700,ENSDARG00000017220
ENSDARG00000027497,ENSDARG00000071626,ENSDARG00000068910,ENSDARG00000053131,ENSDARG00000017365
ENSDARG00000028396,ENSDARG00000074656,ENSDARG00000068934,ENSDARG00000055253,ENSDARG00000017785
ENSDARG00000028857,ENSDARG00000076830,ENSDARG00000070331,ENSDARG00000055294,ENSDARG00000018393
ENSDARG00000030896,ENSDARG00000077559,ENSDARG00000070578,ENSDARG00000056036,ENSDARG00000018716
ENSDARG00000033840,ENSDARG00000078404,ENSDARG00000071173,ENSDARG00000056084,ENSDARG00000018773
ENSDARG00000034503,ENSDARG00000078962,ENSDARG00000071567,ENSDARG00000060893,ENSDARG00000018896
ENSDARG00000035127,ENSDARG00000079119,ENSDARG00000071626,ENSDARG00000061274,ENSDARG00000019442
ENSDARG00000035133,ENSDARG00000079302,ENSDARG00000073695,ENSDARG00000061836,ENSDARG00000019963
