Gene,Retene,BjF,BkF,DBahP,DBaiP,BbF,Fluoran,Phenan,Acenaph,X4hCPDefP,Carbozole,3NF,1_5DMN,9_MA,2_MN,Anthrac,Control_1,Control_2
ENSDARG00000098315.1,15.69311398,15.73594599,15.89722513,14.32633641,14.4441748,14.0096022,11.19945517,10.09088434,8.813705953,10.03627219,10.50525493,10.19954406,9.423499762,10.97717236,9.123585568,10.2618079,8.563775235,8.767682023
ENSDARG00000101195.1,13.16786228,11.26811935,11.93188217,10.03105516,9.948117524,11.11891747,9.007361501,8.767548844,8.572794746,8.793931989,9.021563614,8.875686708,8.748119258,8.798009673,8.449875291,8.936716309,8.479846739,8.514793195
ENSDARG00000100815.1,7.372847604,7.789082184,7.093438374,6.748315501,7.636246432,6.757939691,7.312390315,7.169256613,8.301663387,6.840848324,6.569172962,7.474531748,7.746884075,7.422933302,7.464342204,6.607076112,6.651214695,6.945405119
ENSDARG00000101898.1,6.904139037,8.165503582,7.118551719,6.883388735,7.66772211,6.831043842,6.219712612,7.133534945,7.754480596,6.638445162,7.150218118,7.502337493,7.283031932,6.219712612,6.942012774,7.579701051,7.542229694,6.974504435
ENSDARG00000099468.1,7.858365536,8.315119612,8.600328542,6.752954958,7.874688323,7.607669963,8.648173438,7.89367233,7.524613081,7.95229568,7.776450892,7.423755543,7.461859838,7.318879201,7.807506131,7.430574484,8.30926911,6.941749471
ENSDARG00000096563.2,9.782914166,9.399256676,9.695230814,8.768914452,9.198075299,9.762363285,10.51887503,9.958008327,10.54301937,10.64102942,10.42010593,10.53840114,8.887574652,10.63811926,10.88759808,9.874143203,9.871716853,9.875184184
ENSDARG00000098893.1,7.570406908,7.16494232,7.043995274,6.731070856,7.45385428,6.944936053,6.924180863,7.165465242,6.891871115,7.402393919,6.886558539,6.908709524,6.628371175,6.94830325,6.827653346,7.606799939,7.154008499,7.513539172
ENSDARG00000091116.5,9.986243519,11.31963766,11.77743784,10.2664261,10.60593927,9.868793081,9.126320476,8.88180989,8.491210094,9.074159109,8.509206899,8.472390955,8.590330656,8.793251019,8.542977057,8.73095502,8.560928301,8.623830197
ENSDARG00000074638.5,8.454763379,8.839543322,8.9482934,8.764849623,8.312602365,9.142468888,8.527299097,8.334858633,8.29852318,7.414989084,8.604396502,7.807356993,8.327028601,7.503928703,8.554389276,7.7044334,8.047918759,8.312608265
ENSDARG00000090260.2,7.252903304,7.542496554,7.639092954,8.304285927,7.919429524,7.331228493,8.109820908,7.561871859,7.776000149,7.892917016,7.889288395,7.245396617,7.383656789,7.492841966,7.951865476,8.342330673,7.462032044,8.026127672
ENSDARG00000028396.4,7.815418499,8.377098171,8.65856308,8.48101818,9.596236158,8.951782362,7.537277033,8.324356451,8.594437543,7.393471846,7.229534383,7.146317072,7.871292547,7.223577142,7.784857682,7.665649622,9.222549312,7.612310765
ENSDARG00000068934.5,11.16053598,11.16034578,11.75821425,10.03535533,10.26739857,10.11238218,9.00437186,8.949981812,8.916170045,9.207023408,9.282613697,8.791283989,9.028845599,9.316795923,9.012970931,9.157700601,8.972713899,8.894286918
ENSDARG00000092907.2,6.295477133,6.219712612,6.289354779,6.219712612,6.298334604,6.277544556,6.219712612,6.365602703,6.397853254,6.219712612,6.334733415,6.219712612,6.219712612,6.219712612,6.219712612,6.219712612,6.299574877,6.363960209
ENSDARG00000099120.1,7.41155776,7.509889687,8.101050085,7.272226383,7.249544796,7.809609104,8.14979419,7.946833105,8.400457171,8.257112714,8.263979444,7.111731545,8.317150005,7.371978989,8.101938079,8.144924493,7.590475409,7.858723282
