Gene,Retene,BjF,BkF,DBahP,DBaiP,BbF,Fluoran,Phenan,Acenaph,X4hCPDefP,Carbozole,X3NF,X1_5DMN,X9_MA,X2_MN,Anthrac,Control_1,Control_2
ENSDARG00000098315.1,1.357607332,1.361312719,1.375264937,1.23936775,1.249561919,1.211967153,0.968862042,0.872959859,0.762471479,0.868235376,0.908806954,0.882359984,0.815224588,0.949632412,0.789279086,0.887746413,0.740850036,0.75848996
ENSDARG00000101195.1,1.374578058,1.17626607,1.24555551,1.047130356,1.038472591,1.160691056,0.940268148,0.915234379,0.894904222,0.917988486,0.94175069,0.926522767,0.913206147,0.91841415,0.882072801,0.932893577,0.885201486,0.888849507
ENSDARG00000100815.1,1.021613477,1.079288731,0.982897332,0.935075623,1.058111152,0.936409192,1.013236255,0.993403034,1.150314187,0.947897368,0.910252862,1.035703269,1.073441579,1.028553567,1.034291362,0.915504885,0.921620917,0.962385208
ENSDARG00000101898.1,0.967039461,1.143714537,0.997071522,0.964133036,1.073991966,0.956801264,0.871174161,0.999170172,1.086143934,0.929824616,1.001506928,1.0508271,1.02010971,0.871174161,0.972344308,1.061663153,1.056414666,0.976895305
ENSDARG00000099468.1,1.013997724,1.07293461,1.10973631,0.871361981,1.016103922,0.981649428,1.115909936,1.018553507,0.970932251,1.026117923,1.003427936,0.957918182,0.962834938,0.944385549,1.007435123,0.958798058,1.072179696,0.895722925
ENSDARG00000096563.2,0.982326979,0.943802967,0.973522473,0.880508721,0.923601839,0.980263413,1.056226657,0.999908623,1.058651051,1.068492486,1.046309004,1.058187323,0.89242369,1.06820027,1.093251065,0.991487515,0.99124388,0.991592043
ENSDARG00000098893.1,1.066529386,1.009406975,0.992367788,0.948282563,1.050109291,0.978412188,0.975488168,1.009480645,0.970936326,1.042859484,0.970187883,0.973308544,0.93381409,0.978886563,0.961889238,1.071656486,1.007866603,1.058517781
ENSDARG00000091116.5,1.068543631,1.211218884,1.260204217,1.098523604,1.134852043,1.055976251,0.976530524,0.95036751,0.908572723,0.970949177,0.910498409,0.906559046,0.919178778,0.940891573,0.914111869,0.934225804,0.91603268,0.922763281
ENSDARG00000074638.5,1.015246735,1.061451053,1.074509746,1.052481845,0.998176061,1.09782631,1.023956813,1.00084859,0.996485435,0.890390791,1.033214658,0.937506272,0.999908361,0.901070648,1.027209798,0.925147222,0.966392893,0.99817677
ENSDARG00000090260.2,0.938390556,0.975858527,0.988356301,1.074419878,1.02462663,0.948524376,1.049259728,0.97836533,1.006069541,1.021196406,1.02072693,0.93741933,0.95530762,0.969434148,1.028823238,1.07934216,0.965447918,1.038431383
ENSDARG00000028396.4,0.966950612,1.036443564,1.071267377,1.049300907,1.187279534,1.107545481,0.932537988,1.029918176,1.063333543,0.914745913,0.894463003,0.884167069,0.973863543,0.893725952,0.963169522,0.948420689,1.141045704,0.941821421
ENSDARG00000068934.5,1.161017277,1.16099749,1.223193036,1.043966073,1.068105255,1.051979084,0.936714089,0.931055957,0.927538559,0.957795688,0.965659256,0.914546811,0.939260063,0.969215193,0.93760864,0.952664696,0.933420749,0.925262084
ENSDARG00000092907.2,1.003708945,0.991629555,1.002732838,0.991629555,1.004164521,1.000849895,0.991629555,1.014889299,1.020031112,0.991629555,1.009967705,0.991629555,0.991629555,0.991629555,0.991629555,0.991629555,1.004362262,1.014627431
ENSDARG00000099120.1,0.94703634,0.959601028,1.035138505,0.929232812,0.926334597,0.997898669,1.041366945,1.01543292,1.073396238,1.055079925,1.055957344,0.908725052,1.062751388,0.941979031,1.035251972,1.040744703,0.969898135,1.004174396
ENSDARG00000097481.2,0.982342722,0.96239376,1.049946103,1.027587709,1.050264337,0.910453827,0.988723771,1.044892169,1.034267221,0.986305099,1.063579767,0.99354988,1.007742868,0.992002228,0.987256828,0.925695491,0.979937636,1.013058584
ENSDARG00000100908.2,0.978558675,0.966406969,1.025026816,0.892020321,0.946531524,0.881299236,0.972245056,0.981051016,0.952332739,1.03482552,1.078499388,1.105445391,0.98793352,1.001140971,1.08292837,1.015091919,0.986601821,1.112060748
ENSDARG00000043089.7,1.005527806,0.956931769,0.964288499,0.981450251,0.88449038,1.024842378,0.87926,1.022463451,0.920854121,0.955599348,1.07504253,1.091910717,1.024256593,1.030500864,1.038315324,1.092479626,0.982814458,1.068971885
ENSDARG00000030896.6,1.124810426,1.159377004,1.196818173,1.037230838,1.039100679,1.05467955,0.930003378,0.908516269,0.914898861,0.939119071,0.928104449,0.991704298,0.964388383,0.950821809,0.974034679,0.996123458,0.926474766,0.963793909
ENSDARG00000100529.1,0.938671704,0.916666828,1.024337581,1.042861076,1.026149241,1.009342319,1.007655627,1.037511244,0.924231675,1.043942648,1.027783408,0.936020184,1.037150488,0.965322254,1.01207305,0.978755433,0.992609387,1.078915855
ENSDARG00000037691.4,1.000829806,0.977067457,0.930024791,1.002450884,1.012262286,0.997826818,0.879259484,0.968221953,0.968517911,0.992187275,0.993953488,1.066694305,1.046227725,1.028498823,1.045964363,1.067072397,0.960435766,1.062504468
ENSDARG00000101364.1,1.207609412,1.123595146,1.138254453,1.041230918,1.03989807,1.040074363,0.97133372,0.938694167,0.945303035,0.956252576,0.977236846,0.942062242,0.953079547,1.004218052,0.917443465,0.960962821,0.923194893,0.919556277
ENSDARG00000093439.2,0.974542578,0.991042078,1.035513897,0.941416453,0.941416453,1.026168888,0.989847423,0.941416453,1.018473564,1.000322921,1.011233489,1.079431013,0.988610277,0.970920986,0.974218859,1.06310827,1.029546762,1.022769638
ENSDARG00000101789.2,1.264916787,1.077381121,1.129276272,0.980213742,0.988731942,1.059185728,0.974726823,0.959490742,0.939643529,0.965089683,0.942566214,0.964473289,0.960419127,0.96822755,0.956196337,0.96365107,0.964498291,0.941311752
ENSDARG00000076126.3,1.075576699,1.056044177,1.05920131,1.016309289,1.030615893,1.06616119,1.029769101,0.989081397,1.039515081,0.971595559,1.005118861,0.949674488,0.968795796,0.903895226,0.869663915,0.980709329,0.961589589,1.026683101
ENSDARG00000103232.1,1.014291205,1.079508838,0.967850609,0.934215228,0.971837699,0.934215228,1.064334765,0.94500512,1.039690768,1.033903496,0.983540477,1.004709195,1.021620071,1.0143776,1.011185959,0.972946851,0.976174164,1.030592728
