GeneID,ModuleID
SYNPCC7002_A0001,11
SYNPCC7002_A0013,12
SYNPCC7002_A0021,2
SYNPCC7002_A0029,4
SYNPCC7002_A0032,3
SYNPCC7002_A0040,3
SYNPCC7002_A0045,10
SYNPCC7002_A0048,10
SYNPCC7002_A0049,10
SYNPCC7002_A0057,2
SYNPCC7002_A0061,4
SYNPCC7002_A0068,20
SYNPCC7002_A0069,9
SYNPCC7002_A0072,6
SYNPCC7002_A0077,4
SYNPCC7002_A0078,15
SYNPCC7002_A0079,11
SYNPCC7002_A0087,8
SYNPCC7002_A0091,15
SYNPCC7002_A0092,15
SYNPCC7002_A0095,1
SYNPCC7002_A0096,22
SYNPCC7002_A0100,45
SYNPCC7002_A0103,8
SYNPCC7002_A0105,15
SYNPCC7002_A0106,6
SYNPCC7002_A0115,11
SYNPCC7002_A0118,10
SYNPCC7002_A0134,15
SYNPCC7002_A0137,45
SYNPCC7002_A0138,11
SYNPCC7002_A0151,2
SYNPCC7002_A0157,7
SYNPCC7002_A0163,5
SYNPCC7002_A0165,12
SYNPCC7002_A0167,1
SYNPCC7002_A0171,3
SYNPCC7002_A0172,3
SYNPCC7002_A0173,3
SYNPCC7002_A0174,3
SYNPCC7002_A0175,3
SYNPCC7002_A0177,20
SYNPCC7002_A0179,3
SYNPCC7002_A0182,45
SYNPCC7002_A0184,3
SYNPCC7002_A0185,4
SYNPCC7002_A0186,2
SYNPCC7002_A0200,2
SYNPCC7002_A0201,2
SYNPCC7002_A0211,8
SYNPCC7002_A0212,5
SYNPCC7002_A0213,9
SYNPCC7002_A0218,8
SYNPCC7002_A0221,9
SYNPCC7002_A0223,45
SYNPCC7002_A0227,18
SYNPCC7002_A0230,5
SYNPCC7002_A0231,5
SYNPCC7002_A0232,5
SYNPCC7002_A0239,16
SYNPCC7002_A0241,45
SYNPCC7002_A0244,3
SYNPCC7002_A0250,18
SYNPCC7002_A0251,20
SYNPCC7002_A0253,45
SYNPCC7002_A0254,15
SYNPCC7002_A0255,17
SYNPCC7002_A0259,4
SYNPCC7002_A0269,1
SYNPCC7002_A0270,9
SYNPCC7002_A0271,4
SYNPCC7002_A0275,6
SYNPCC7002_A0276,7
SYNPCC7002_A0277,8
SYNPCC7002_A0284,3
SYNPCC7002_A0289,5
SYNPCC7002_A0291,21
SYNPCC7002_A0297,22
SYNPCC7002_A0301,6
SYNPCC7002_A0303,2
SYNPCC7002_A0304,2
SYNPCC7002_A0312,2
SYNPCC7002_A0322,1
SYNPCC7002_A0331,11
SYNPCC7002_A0342,5
SYNPCC7002_A0349,2
SYNPCC7002_A0358,12
SYNPCC7002_A0368,11
SYNPCC7002_A0370,10
SYNPCC7002_A0376,2
SYNPCC7002_A0377,2
SYNPCC7002_A0378,15
SYNPCC7002_A0379,7
SYNPCC7002_A0385,2
SYNPCC7002_A0391,9
SYNPCC7002_A0395,16
SYNPCC7002_A0396,16
SYNPCC7002_A0397,16
SYNPCC7002_A0398,16
SYNPCC7002_A0401,15
SYNPCC7002_A0403,12
SYNPCC7002_A0404,12
SYNPCC7002_A0422,15
SYNPCC7002_A0426,8
SYNPCC7002_A0428,13
SYNPCC7002_A0431,3
SYNPCC7002_A0434,13
SYNPCC7002_A0439,45
SYNPCC7002_A0440,45
SYNPCC7002_A0446,22
SYNPCC7002_A0448,11
SYNPCC7002_A0449,15
SYNPCC7002_A0458,11
SYNPCC7002_A0460,15
SYNPCC7002_A0464,5
SYNPCC7002_A0470,3
SYNPCC7002_A0471,4
SYNPCC7002_A0472,3
SYNPCC7002_A0473,3
SYNPCC7002_A0479,18
SYNPCC7002_A0481,11
SYNPCC7002_A0484,45
SYNPCC7002_A0486,2
SYNPCC7002_A0489,8
SYNPCC7002_A0490,8
SYNPCC7002_A0493,15
SYNPCC7002_A0497,5
SYNPCC7002_A0504,12
SYNPCC7002_A0508,7
SYNPCC7002_A0514,8
SYNPCC7002_A0515,4
SYNPCC7002_A0517,3
SYNPCC7002_A0519,8
SYNPCC7002_A0520,7
SYNPCC7002_A0521,11
SYNPCC7002_A0535,12
SYNPCC7002_A0539,9
SYNPCC7002_A0542,5
SYNPCC7002_A0545,3
SYNPCC7002_A0546,3
SYNPCC7002_A0555,2
SYNPCC7002_A0558,8
SYNPCC7002_A0563,12
SYNPCC7002_A0570,4
SYNPCC7002_A0571,19
SYNPCC7002_A0575,1
SYNPCC7002_A0579,11
SYNPCC7002_A0584,15
SYNPCC7002_A0585,4
SYNPCC7002_A0596,21
SYNPCC7002_A0599,15
SYNPCC7002_A0602,13
SYNPCC7002_A0606,22
SYNPCC7002_A0609,2
SYNPCC7002_A0610,4
SYNPCC7002_A0611,17
SYNPCC7002_A0612,45
SYNPCC7002_A0614,18
SYNPCC7002_A0618,21
SYNPCC7002_A0620,4
SYNPCC7002_A0625,45
SYNPCC7002_A0632,15
SYNPCC7002_A0641,3
SYNPCC7002_A0642,7
SYNPCC7002_A0644,1
SYNPCC7002_A0654,20
SYNPCC7002_A0656,6
SYNPCC7002_A0657,6
SYNPCC7002_A0658,16
SYNPCC7002_A0661,5
SYNPCC7002_A0665,16
SYNPCC7002_A0667,17
SYNPCC7002_A0669,8
SYNPCC7002_A0678,5
SYNPCC7002_A0682,1
SYNPCC7002_A0697,9
SYNPCC7002_A0699,9
SYNPCC7002_A0702,10
SYNPCC7002_A0707,1
SYNPCC7002_A0708,2
SYNPCC7002_A0724,22
SYNPCC7002_A0725,22
SYNPCC7002_A0726,22
SYNPCC7002_A0728,19
SYNPCC7002_A0729,22
SYNPCC7002_A0730,18
SYNPCC7002_A0733,6
SYNPCC7002_A0734,6
SYNPCC7002_A0735,6
SYNPCC7002_A0736,6
SYNPCC7002_A0737,6
SYNPCC7002_A0738,6
SYNPCC7002_A0739,1
SYNPCC7002_A0743,21
SYNPCC7002_A0749,12
SYNPCC7002_A0750,6
SYNPCC7002_A0751,9
SYNPCC7002_A0770,7
SYNPCC7002_A0780,3
SYNPCC7002_A0781,8
SYNPCC7002_A0784,45
SYNPCC7002_A0787,14
SYNPCC7002_A0791,9
SYNPCC7002_A0794,2
SYNPCC7002_A0795,2
SYNPCC7002_A0796,2
SYNPCC7002_A0797,2
SYNPCC7002_A0798,2
SYNPCC7002_A0810,12
SYNPCC7002_A0811,1
SYNPCC7002_A0813,7
SYNPCC7002_A0814,6
SYNPCC7002_A0815,1
SYNPCC7002_A0818,1
SYNPCC7002_A0820,4
SYNPCC7002_A0822,23
SYNPCC7002_A0823,6
SYNPCC7002_A0825,15
SYNPCC7002_A0832,5
SYNPCC7002_A0841,7
SYNPCC7002_A0842,7
SYNPCC7002_A0846,8
SYNPCC7002_A0848,13
SYNPCC7002_A0849,16
SYNPCC7002_A0862,16
SYNPCC7002_A0868,18
SYNPCC7002_A0871,19
SYNPCC7002_A0888,2
SYNPCC7002_A0897,15
SYNPCC7002_A0899,3
SYNPCC7002_A0919,15
SYNPCC7002_A0923,3
SYNPCC7002_A0924,3
SYNPCC7002_A0925,3
SYNPCC7002_A0926,3
SYNPCC7002_A0938,3
SYNPCC7002_A0940,11
SYNPCC7002_A0941,6
SYNPCC7002_A0949,45
SYNPCC7002_A0953,8
SYNPCC7002_A0955,9
SYNPCC7002_A0957,2
SYNPCC7002_A0959,17
SYNPCC7002_A0967,9
SYNPCC7002_A0974,17
SYNPCC7002_A0975,20
SYNPCC7002_A0986,18
SYNPCC7002_A0990,21
SYNPCC7002_A0991,6
SYNPCC7002_A0999,1
SYNPCC7002_A1004,7
SYNPCC7002_A1006,4
SYNPCC7002_A1008,1
SYNPCC7002_A1021,2
SYNPCC7002_A1022,8
SYNPCC7002_A1023,15
SYNPCC7002_A1026,6
SYNPCC7002_A1028,8
SYNPCC7002_A1029,6
SYNPCC7002_A1030,8
SYNPCC7002_A1034,3
SYNPCC7002_A1035,2
SYNPCC7002_A1036,6
SYNPCC7002_A1037,6
SYNPCC7002_A1038,6
SYNPCC7002_A1039,6
SYNPCC7002_A1040,6
SYNPCC7002_A1042,6
SYNPCC7002_A1043,6
SYNPCC7002_A1044,6
SYNPCC7002_A1045,6
SYNPCC7002_A1046,23
SYNPCC7002_A1047,8
SYNPCC7002_A1048,8
SYNPCC7002_A1049,6
SYNPCC7002_A1050,6
SYNPCC7002_A1051,6
SYNPCC7002_A1052,6
SYNPCC7002_A1053,6
SYNPCC7002_A1054,6
SYNPCC7002_A1055,6
SYNPCC7002_A1056,6
SYNPCC7002_A1057,6
SYNPCC7002_A1058,6
SYNPCC7002_A1059,6
SYNPCC7002_A1060,6
SYNPCC7002_A1061,6
SYNPCC7002_A1062,6
SYNPCC7002_A1063,6
SYNPCC7002_A1064,6
SYNPCC7002_A1065,6
SYNPCC7002_A1069,4
SYNPCC7002_A1071,18
SYNPCC7002_A1083,15
SYNPCC7002_A1096,1
SYNPCC7002_A1101,8
SYNPCC7002_A1102,45
SYNPCC7002_A1105,4
SYNPCC7002_A1106,45
SYNPCC7002_A1107,8
SYNPCC7002_A1118,5
SYNPCC7002_A1125,5
SYNPCC7002_A1126,21
SYNPCC7002_A1127,17
SYNPCC7002_A1129,17
SYNPCC7002_A1147,3
SYNPCC7002_A1149,18
SYNPCC7002_A1152,17
SYNPCC7002_A1154,6
SYNPCC7002_A1156,45
SYNPCC7002_A1170,7
SYNPCC7002_A1173,11
SYNPCC7002_A1174,2
SYNPCC7002_A1182,9
SYNPCC7002_A1183,21
SYNPCC7002_A1185,18
SYNPCC7002_A1186,10
SYNPCC7002_A1193,3
SYNPCC7002_A1200,8
SYNPCC7002_A1201,11
SYNPCC7002_A1202,13
SYNPCC7002_A1206,18
SYNPCC7002_A1208,45
SYNPCC7002_A1212,9
SYNPCC7002_A1216,11
SYNPCC7002_A1219,2
SYNPCC7002_A1220,2
SYNPCC7002_A1221,13
SYNPCC7002_A1224,2
SYNPCC7002_A1233,4
SYNPCC7002_A1235,11
SYNPCC7002_A1237,13
SYNPCC7002_A1253,4
SYNPCC7002_A1256,17
SYNPCC7002_A1257,2
SYNPCC7002_A1258,6
SYNPCC7002_A1266,45
SYNPCC7002_A1269,15
SYNPCC7002_A1270,17
SYNPCC7002_A1271,7
SYNPCC7002_A1272,10
SYNPCC7002_A1275,12
SYNPCC7002_A1276,8
SYNPCC7002_A1289,8
SYNPCC7002_A1290,19
SYNPCC7002_A1291,19
SYNPCC7002_A1292,19
SYNPCC7002_A1295,11
SYNPCC7002_A1297,3
SYNPCC7002_A1298,16
SYNPCC7002_A1301,6
SYNPCC7002_A1302,20
SYNPCC7002_A1305,9
SYNPCC7002_A1317,10
SYNPCC7002_A1321,3
SYNPCC7002_A1328,1
SYNPCC7002_A1329,20
SYNPCC7002_A1330,13
SYNPCC7002_A1331,11
SYNPCC7002_A1333,1
SYNPCC7002_A1338,45
SYNPCC7002_A1344,23
SYNPCC7002_A1347,16
SYNPCC7002_A1354,21
SYNPCC7002_A1355,17
SYNPCC7002_A1356,9
SYNPCC7002_A1357,8
SYNPCC7002_A1359,22
SYNPCC7002_A1361,20
SYNPCC7002_A1367,9
SYNPCC7002_A1369,13
SYNPCC7002_A1377,11
SYNPCC7002_A1379,9
SYNPCC7002_A1381,19
SYNPCC7002_A1387,3
SYNPCC7002_A1390,17
SYNPCC7002_A1392,11
SYNPCC7002_A1394,6
SYNPCC7002_A1396,45
SYNPCC7002_A1397,45
SYNPCC7002_A1400,5
SYNPCC7002_A1402,3
SYNPCC7002_A1406,12
SYNPCC7002_A1408,2
SYNPCC7002_A1418,7
SYNPCC7002_A1419,11
SYNPCC7002_A1425,1
SYNPCC7002_A1431,9
SYNPCC7002_A1432,9
SYNPCC7002_A1433,9
SYNPCC7002_A1442,2
SYNPCC7002_A1445,2
SYNPCC7002_A1447,12
SYNPCC7002_A1448,15
SYNPCC7002_A1451,9
SYNPCC7002_A1461,1
SYNPCC7002_A1469,2
SYNPCC7002_A1470,19
SYNPCC7002_A1471,10
SYNPCC7002_A1476,13
SYNPCC7002_A1477,13
SYNPCC7002_A1479,9
SYNPCC7002_A1480,9
SYNPCC7002_A1487,2
SYNPCC7002_A1489,2
SYNPCC7002_A1490,5
SYNPCC7002_A1495,15
SYNPCC7002_A1499,2
SYNPCC7002_A1503,14
SYNPCC7002_A1504,14
SYNPCC7002_A1505,14
SYNPCC7002_A1506,14
SYNPCC7002_A1507,14
SYNPCC7002_A1508,14
SYNPCC7002_A1509,14
SYNPCC7002_A1511,14
SYNPCC7002_A1512,14
SYNPCC7002_A1513,14
SYNPCC7002_A1514,14
SYNPCC7002_A1515,14
SYNPCC7002_A1516,14
SYNPCC7002_A1517,14
SYNPCC7002_A1518,14
SYNPCC7002_A1519,14
SYNPCC7002_A1520,14
SYNPCC7002_A1522,13
SYNPCC7002_A1524,14
SYNPCC7002_A1527,14
SYNPCC7002_A1529,19
SYNPCC7002_A1531,14
SYNPCC7002_A1532,23
SYNPCC7002_A1533,4
SYNPCC7002_A1535,2
SYNPCC7002_A1544,11
SYNPCC7002_A1545,20
SYNPCC7002_A1547,1
SYNPCC7002_A1550,8
SYNPCC7002_A1551,8
SYNPCC7002_A1559,7
SYNPCC7002_A1560,7
SYNPCC7002_A1567,12
SYNPCC7002_A1573,10
SYNPCC7002_A1582,1
SYNPCC7002_A1585,6
SYNPCC7002_A1588,12
SYNPCC7002_A1592,8
SYNPCC7002_A1593,13
SYNPCC7002_A1597,45
SYNPCC7002_A1599,7
SYNPCC7002_A1601,12
SYNPCC7002_A1602,12
SYNPCC7002_A1603,12
SYNPCC7002_A1604,12
SYNPCC7002_A1606,21
SYNPCC7002_A1613,4
SYNPCC7002_A1616,2
