Gene,Retene_Rep1,Retene_Rep2,Retene_Rep3,Retene_Rep4,Control1_Rep1,Control1_Rep2,Control1_Rep3,Control1_Rep4
ENSDARG00000098315.1,15.73218868,15.49346662,15.76751324,15.77928736,8.404240342,8.432647139,9.056448447,8.361765013
ENSDARG00000101195.1,13.29314083,13.08252969,13.0290639,13.26671469,8.32393745,8.451996364,8.668573414,8.474879728
ENSDARG00000100815.1,6.219712612,8.031935297,7.181351208,8.0583913,6.793975148,7.371458408,6.219712612,6.219712612
ENSDARG00000101898.1,6.219712612,7.572488698,6.219712612,7.604642224,7.157738897,8.648067089,6.219712612,8.143400177
ENSDARG00000099468.1,8.122918354,8.208928437,8.881902742,6.219712612,8.507191409,8.643915769,7.854618064,8.231351198
ENSDARG00000096563.2,10.87491827,9.119000158,10.22808197,8.909656264,9.917787546,10.21318743,9.056448447,10.29944399
ENSDARG00000098893.1,8.085569679,7.388816518,7.181351208,7.625890228,6.219712612,6.219712612,8.280659325,7.895949448
ENSDARG00000091116.5,10.33329881,9.842653592,10.03921669,9.729804983,8.619381,8.408052953,8.703997695,8.512281556
ENSDARG00000074638.5,7.328264738,9.406854884,8.684475776,8.399458119,8.868204272,7.035657945,7.968071786,8.319741034
ENSDARG00000090260.2,8.188626033,8.14625623,6.457018342,6.219712612,7.932771048,9.099184705,6.219712612,6.596459811
ENSDARG00000028396.4,7.693035959,7.808036788,8.166742579,7.593858669,9.110864313,9.802291566,9.657300333,8.319741034
ENSDARG00000068934.5,11.35128568,11.09140982,11.0352775,11.1641709,9.110864313,8.934721717,8.99069008,8.854579487
ENSDARG00000092907.2,6.522770694,6.219712612,6.219712612,6.219712612,6.219712612,6.219712612,6.539161672,6.219712612
ENSDARG00000099120.1,7.993765662,8.601602421,6.219712612,6.831150346,7.519706324,8.215738936,8.406743763,6.219712612
ENSDARG00000097481.2,8.547146942,7.603571728,7.387274827,7.697157363,6.97091879,7.087988582,9.169986853,7.929783091
ENSDARG00000100908.2,7.457542291,7.540465658,7.816800976,8.976358916,8.088709105,8.540223482,7.436752224,7.986786734
ENSDARG00000043089.7,7.794122356,7.633779704,7.772404096,6.482024712,7.388695016,7.152708576,7.074016466,7.396431987
ENSDARG00000030896.6,9.864166792,9.589117797,9.548726639,9.617612427,7.893174514,7.95390351,8.092896135,7.869925481
ENSDARG00000100529.1,6.219712612,8.391042663,7.319777724,7.019062911,8.140581547,6.219712612,8.250203199,8.00259187
ENSDARG00000037691.4,8.098144141,7.913631345,7.079818287,8.705280428,7.417448487,7.152708576,8.013594769,7.929783091
ENSDARG00000101364.1,9.019721896,9.182690305,8.859536026,9.155931557,7.008555378,6.773772799,7.092657199,6.812908824
ENSDARG00000093439.2,6.219712612,6.219712612,7.095138067,6.219712612,6.219712612,7.268765372,6.219712612,7.499683072
ENSDARG00000101789.2,11.19267163,11.23133024,11.1392364,11.20479562,8.518398694,8.447185657,8.551449463,8.618565157
ENSDARG00000076126.3,13.85811145,14.23521351,14.02114818,12.95952398,12.20778903,11.80279608,12.39405176,12.83274647
ENSDARG00000103232.1,6.522770694,7.337027602,6.219712612,6.931822717,7.017661427,6.219712612,6.539161672,6.219712612
ENSDARG00000104305.1,6.219712612,6.219712612,7.56578112,6.219712612,6.219712612,6.219712612,6.219712612,6.219712612
ENSDARG00000099702.1,8.060031488,8.458307283,8.219995498,8.651292479,6.608265996,6.219712612,6.480718748,6.680483164
ENSDARG00000091558.5,8.347162709,6.661613352,7.048228942,9.008538826,7.250627847,7.608450404,7.72896872,7.689964853
ENSDARG00000086826.3,11.56244113,11.65121384,11.6232158,11.37093199,9.509410347,9.235452053,9.372644012,9.292452012
ENSDARG00000094658.2,7.099821724,6.62337179,6.219712612,6.219712612,6.627108659,6.468712239,6.631562681,6.219712612
ENSDARG00000076309.4,8.153211559,8.059798698,8.305715034,9.155931557,8.382150712,8.811832097,7.709831633,8.730546885
ENSDARG00000070542.5,8.211696596,7.193130163,8.713471815,8.757197188,8.204678387,7.818341247,7.608844934,8.67104581
ENSDARG00000100770.1,8.085569679,7.824915636,8.058887379,7.903964125,8.41876236,8.447185657,6.219712612,7.217042466
ENSDARG00000093508.2,7.377300765,7.561922235,7.124908979,7.615318555,7.698368246,6.219712612,8.180527052,7.720341649
ENSDARG00000017246.9,7.353100396,7.267969669,7.500035091,8.516181878,7.874729866,8.002729011,7.372191568,7.84331294
ENSDARG00000092061.2,7.289720507,6.219712612,6.219712612,6.219712612,6.831337315,7.255077977,6.219712612,7.011222723
ENSDARG00000093005.2,7.27650262,6.219712612,6.219712612,7.167690351,7.172708149,6.219712612,6.219712612,6.219712612
ENSDARG00000102560.1,6.569440766,7.20862333,7.866535421,7.515131445,6.831337315,7.121003317,6.219712612,7.523928302
ENSDARG00000042816.4,8.377665597,8.171699525,8.214769678,8.214943081,7.936306424,7.872924369,7.879859143,7.994714986
ENSDARG00000068667.6,6.219712612,7.425909514,6.219712612,6.219712612,7.689662254,7.371458408,7.473554429,6.71705336
ENSDARG00000095254.4,9.527228728,8.245097402,8.752354479,8.66952943,9.128102016,8.553633372,8.274625643,9.307283891
ENSDARG00000097180.3,7.302748958,6.979298833,7.653144265,7.039293963,6.899592223,6.97932897,6.928337626,6.868629558
ENSDARG00000067606.4,7.289720507,7.959363823,7.271896867,8.135706233,8.542726987,8.684864576,7.837483669,7.368832692
ENSDARG00000042492.6,8.888804183,8.550834368,9.254689547,9.608425884,9.106521314,9.424919994,8.954782141,9.19361794
ENSDARG00000079834.5,8.407471609,8.502941548,8.144796537,8.246551099,9.596945806,9.827418036,8.113670007,9.455570893
ENSDARG00000004358.6,9.698947892,9.571238955,9.562422008,10.15461306,9.507232724,9.735565616,9.719814158,9.970839192
ENSDARG00000095252.2,7.328264738,7.572488698,7.079818287,7.278801409,9.194996507,7.834198608,7.554582954,7.637407842
ENSDARG00000042698.5,6.84679087,7.038630328,6.387607575,6.672812111,7.519706324,7.383540175,7.738416498,6.680483164
ENSDARG00000103019.1,9.460473331,8.215028374,7.998106412,8.051117565,7.052993282,6.773772799,6.880273019,6.640632159
ENSDARG00000105834.1,7.423951822,7.582950785,6.821045746,6.883530134,7.346942172,7.087988582,6.219712612,6.680483164
ENSDARG00000098746.1,11.00204791,11.22354894,10.68676333,10.8197533,8.972675044,8.876405928,9.1384812,8.675716949
ENSDARG00000096367.1,6.955418233,6.219712612,6.219712612,6.219712612,6.219712612,6.684118973,6.219712612,6.219712612
ENSDARG00000097134.2,8.182792165,9.299245879,8.803645366,9.022604136,9.120945566,9.210894641,7.72896872,9.101001306
ENSDARG00000098857.1,8.95908256,8.498055886,8.910134581,9.187359358,8.961450909,9.105136641,8.664079316,8.862732183
ENSDARG00000094386.1,7.315594873,7.833263873,6.998175869,7.491498995,8.152480543,7.29553043,7.372191568,7.626586522
ENSDARG00000099670.1,6.219712612,6.219712612,7.015245714,6.883530134,7.044317052,6.219712612,6.219712612,6.408487223
ENSDARG00000043085.5,7.315594873,7.223841818,7.519248284,6.405322839,6.767574457,6.939090561,7.163119881,6.989443413
ENSDARG00000029688.8,7.207295974,6.532791877,6.925377061,7.039293963,6.910269434,7.070942251,6.706366022,6.966968687
ENSDARG00000070757.7,6.219712612,6.219712612,6.90586665,6.219712612,7.509414596,6.219712612,6.706366022,6.71705336
ENSDARG00000105676.1,6.219712612,6.219712612,7.079818287,7.184470312,6.75386056,6.959506953,7.358745285,7.296094035
ENSDARG00000090387.3,7.099821724,6.729319182,7.387274827,7.782562466,7.534954532,7.475168839,6.58833111,7.396431987
ENSDARG00000096579.2,7.400905912,7.177348773,7.284105221,6.908131662,7.283876385,7.070942251,6.539161672,6.782858508
ENSDARG00000053448.7,9.485318252,8.597065942,9.257110072,10.06218549,8.122518648,8.740185495,8.868459009,8.842258725
ENSDARG00000094050.1,7.177986734,7.20862333,6.219712612,7.078180904,6.645096499,7.137010915,7.660499372,6.219712612
ENSDARG00000101486.1,7.099821724,6.219712612,7.139388525,7.248471738,6.219712612,6.684118973,6.219712612,6.219712612
ENSDARG00000093606.1,9.953848807,9.074861505,9.766945626,10.9134277,9.661908376,8.740185495,9.947345748,9.651179625
ENSDARG00000094120.2,7.083227607,6.400705188,7.900812659,6.219712612,6.56745422,6.715881313,6.739619213,6.546215898
ENSDARG00000026403.9,7.736258991,8.221099197,9.373101035,8.815363042,8.387091879,8.522130886,8.887691549,8.349896303
ENSDARG00000100297.1,6.219712612,7.572488698,7.234237307,7.058987531,6.793975148,7.608450404,6.219712612,6.782858508
ENSDARG00000089750.2,12.25141202,11.48371077,12.14348046,11.90221485,11.90421211,11.91518345,11.18062916,12.48970616
ENSDARG00000039173.6,12.48120248,11.40022098,12.22554605,12.053732,12.05053167,11.5869026,10.89450716,12.31580986
ENSDARG00000091878.3,7.13199785,6.78874119,6.773465933,6.219712612,6.219712612,6.219712612,7.146071405,7.200339603
ENSDARG00000100798.1,7.500650754,7.833263873,7.398074631,7.377682869,7.777873204,7.58901281,7.863092124,7.626586522
ENSDARG00000086374.2,7.048924933,7.093553848,7.234237307,6.908131662,7.070051677,6.97932897,8.310410772,6.782858508
ENSDARG00000055723.5,7.468492744,7.449883478,7.500035091,7.515131445,7.493781245,7.321532684,7.273737907,7.487342227
ENSDARG00000105428.1,6.610483016,6.400705188,7.45035547,7.878987472,7.694023771,7.05350709,7.273737907,6.943733381
ENSDARG00000100208.1,6.647520759,7.128121424,6.219712612,7.263765298,7.103071713,7.05350709,7.035308233,6.219712612
ENSDARG00000102309.1,6.219712612,7.144861169,7.440118218,6.908131662,7.134761861,6.873707611,7.22804745,6.219712612
ENSDARG00000074345.4,7.521541166,9.439325244,8.773103244,9.723445279,9.301091057,9.347183097,9.417741361,8.890890849
