Tracking_ID	gene_id	gene	locus	BAP_log2(fold_change)	BAP_test_stat	BAP_p_value	BAP_q_value	BAP_significant	BaP500_Log2FC_0	BaP500_Log2FC_1	BaP500_Log2FC_2	BaP500_Log2FC_3
ENSG00000151651	ENSG00000151651	ADAM8	chr10:133262402-133276868	-1.66067	-1.9073	0.0005	0.00620361	yes	-0.998717387	-2.630018295	-1.745363622	-1.713489455
ENSG00000135046	ENSG00000135046	ANXA1	chr9:73151756-73170393	-0.953206	-1.98875	5.00E-05	0.000920822	yes	-0.965018771	-0.647405635	-1.765948807	-0.686864634
ENSG00000175279	ENSG00000175279	APITD1	chr1:10429880-10452153	1.17504	1.39724	0.00385	0.0293261	yes	1.320007101	0.556488582	1.634734368	0.970359782
ENSG00000152669	ENSG00000152669	CCNO	chr5:55231151-55233680	1.86101	4.0801	5.00E-05	0.000920822	yes	1.514481034	1.081597103	2.776799367	1.435025162
ENSG00000133048	ENSG00000133048	CHI3L1	chr1:203178930-203186749	-2.72364	-3.98793	5.00E-05	0.000920822	yes	-2.406135298	-3.722733074	-2.759283153	-2.369851818
ENSG00000160213	ENSG00000160213	CSTB	chr21:43772511-43776445	-1.1423	-3.16581	5.00E-05	0.000920822	yes	-1.140200025	-1.080632901	-1.439236321	-0.952121606
ENSG00000140465	ENSG00000140465	CYP1A1	chr15:74719541-74725610	4.30529	10.0084	5.00E-05	0.000920822	yes	5.059016984	4.332682862	-0.37761927	4.633854233
ENSG00000138061	ENSG00000138061	CYP1B1	chr2:37923186-38239590	1.68133	2.74887	5.00E-05	0.000920822	yes	1.717241009	2.498717486	-0.252345392	1.608555986
ENSG00000186104	ENSG00000186104	CYP2R1	chr11:14877439-14892252	1.19262	1.38355	0.004	0.029983	yes	0.902426436	1.478178135	1.486419139	0.753228549
ENSG00000111432	ENSG00000111432	FZD10	chr12:130162458-130165740	-2.79906	-5.42792	5.00E-05	0.000920822	yes	-3.377453289	-2.883692753	-3.402469469	-2.009066774
ENSG00000164032	ENSG00000164032	H2AFZ	chr4:99948085-100215505	0.557141	1.48643	0.00335	0.0264605	yes	0.46139588	0.538957501	0.616169761	0.606736146
ENSG00000164104	ENSG00000164104	HMGB2	chr4:173331694-173335125	-0.573432	-1.6326	0.0009	0.00981167	yes	-0.718542989	-0.114150933	-1.288917019	-0.420489257
ENSG00000182481	ENSG00000182481	KPNA2	chr17:68035518-68046842	0.806004	1.59991	0.00195	0.017759	yes	0.677562668	0.683636825	0.813880905	1.021410236
ENSG00000181019	ENSG00000181019	NQO1	chr16:69706995-69726951	0.985893	2.5434	5.00E-05	0.000920822	yes	1.217690168	0.796664018	0.584877647	1.238448539
ENSG00000249915	ENSG00000249915	PDCD6	chr5:271620-438291	0.508186	1.34338	0.0069	0.0449392	yes	0.5809317	0.30972602	0.667191014	0.449724514
ENSG00000174307	ENSG00000174307	PHLDA3	chr1:201464382-201469237	-0.940031	-1.69882	0.0007	0.00806114	yes	-0.879977596	-0.811579054	-1.329522606	-0.801246659
ENSG00000197943	ENSG00000197943	PLCG2	chr16:81738247-81962693	-1.44244	-1.39658	0.00055	0.00668866	yes	-1.548432307	-1.269295008	-1.577278558	-1.396213673
ENSG00000112033	ENSG00000112033	PPARD	chr6:35342557-35428191	-1.08908	-2.61174	5.00E-05	0.000920822	yes	-1.061306104	-1.35096326	-1.261358672	-0.756672279
ENSG00000074211	ENSG00000074211	PPP2R2C	chr4:6320577-6563600	-2.10068	-1.8397	5.00E-05	0.000920822	yes	-2.3494352	-1.965167363	-2.677186229	-1.626311547
ENSG00000111247	ENSG00000111247	RAD51AP1	chr12:4538797-4560048	1.18572	1.47322	0.0002	0.00299194	yes	0.576366932	0.662070042	1.767987755	1.389476132
ENSG00000266094	ENSG00000266094	RASSF5	chr1:206507529-206612463	-0.674647	-1.37089	0.00635	0.0424346	yes	-0.975137244	-0.578121991	-0.867551737	-0.359677507
ENSG00000101773	ENSG00000101773	RBBP8	chr18:22699480-23026488	-0.947168	-1.46658	0.006	0.0407913	yes	-0.963552769	-1.315587296	-0.877366334	-0.699734902
ENSG00000114391	ENSG00000114391	RPL24	chr3:101681090-101686782	-0.547441	-1.64504	0.001	0.0106629	yes	-0.503111315	-0.674215316	-0.732696634	-0.316710293
ENSG00000088826	ENSG00000088826	SMOX	chr20:4120979-4187747	-1.17194	-1.90701	5.00E-05	0.000920822	yes	-0.665708088	-1.442250601	-2.224663311	-0.828849628
ENSG00000157873	ENSG00000157873	TNFRSF14	chr1:2549919-2565382	-0.953483	-1.73988	0.0005	0.00620361	yes	-0.588000197	-1.503620753	-0.863288991	-1.00605409
ENSG00000127863	ENSG00000127863	TNFRSF19	chr13:23570369-23676104	1.12855	2.75729	5.00E-05	0.000920822	yes	0.985133976	1.232943546	1.501320484	0.66409068
ENSG00000164938	ENSG00000164938	TP53INP1	chr8:94813310-95116455	0.650024	1.58039	0.002	0.0181441	yes	0.74017001	1.062263877	0.551116037	0.074480136
ENSG00000073282	ENSG00000073282	TP63	chr3:189631415-189897279	-1.0762	-2.77917	5.00E-05	0.000920822	yes	-1.390487868	-0.539514863	-1.434900932	-1.127221163
ENSG00000071539	ENSG00000071539	TRIP13	chr5:795605-919357	2.36388	0.93846	0.0006	0.00716698	yes	2.657639204	2.576841787	2.504220614	1.400728273
ENSG00000147852	ENSG00000147852	VLDLR	chr9:2422701-2660053	-1.0132	-1.53126	0.0018	0.0167277	yes	-1.182991082	-0.514053944	-1.651700309	-0.935594796
ENSG00000245694	ENSG00000245694	CRNDE	chr16:54918862-54929189	0.68851	1.65803	0.00065	0.00761591	yes	0.811904419	0.821267509	0.96872362	-0.048588412
ENSG00000249859	ENSG00000249859	PVT1	chr8:127794532-128101253	-1.16301	-2.13207	0.0002	0.00299194	yes	-0.13046814	-1.670442766	-2.291432517	-1.496730817
ENSG00000239467	ENSG00000239467	AC007405.6	chr2:170771112-170778148	1.449	2.00504	0.0006	0.00716698	yes	1.184335361	1.544039478	1.510691763	1.52737926
ENSG00000236833	ENSG00000236833	AC024560.2	chr3:197660564-197665757	1.11214	1.62386	0.0023	0.0200038	yes	1.248895265	0.333329813	1.603048594	0.979854508
ENSG00000240859	ENSG00000240859	AC093627.10	chr7:149596-155465	1.93947	1.67366	0.00115	0.0118763	yes	2.299943556	0.549796403	1.374347391	2.66943302
ENSG00000230606	ENSG00000230606	AC159540.1	chr2:97416164-97434847	1.66386	3.49833	5.00E-05	0.000920822	yes	1.989711144	1.500998001	2.143402708	0.540587418
ENSG00000203709	ENSG00000203709	C1orf132	chr1:207801517-207869150	-1.01143	-2.56831	5.00E-05	0.000920822	yes	-0.776489814	-0.866392968	-0.806288885	-1.836187754
