Tracking_ID	gene_id	gene	locus	BAP10_log2(fold_change)	BAP10_q_value	BAP10_significant	BaP10_Log2FC_0	BaP10_Log2FC_1	BaP10_Log2FC_2
ENSDARG00000026039	ENSDARG00000026039	cyp1a	18:4974675-4985566	7.45376	0.00461398	yes	7.411074251	7.478534904	7.549348501
ENSDARG00000058980	ENSDARG00000058980	cyp1c1	Zv9_NA892:103569-106640	4.06631	0.00461398	yes	4.098312814	4.019766942	4.158367937
ENSDARG00000068934	ENSDARG00000068934	cyp1b1	13:42664263-42671929	3.77738	0.00461398	yes	3.866488462	3.587135386	3.936282208
ENSDARG00000018298	ENSDARG00000018298	cyp1c2	Zv9_scaffold3548:298352-300627	3.49876	0.00461398	yes	3.394593039	3.554185977	3.618637389
ENSDARG00000005039	ENSDARG00000005039	gstp1	4:29632401-29639074	1.97748	0.00461398	yes	1.903178849	2.114664798	1.987958607
ENSDARG00000086826	ENSDARG00000086826	sult6b1	11:44488332-44500653	2.47401	0.00461398	yes	2.397242299	2.598641168	2.499846284
ENSDARG00000038729	ENSDARG00000038729	s100z	21:7136708-7156370	1.53234	0.00461398	yes	1.46904084	1.693989718	1.504891031
ENSDARG00000016713	ENSDARG00000016713	dhrs13l1	14:4632106-4642537	3.30594	0.00461398	yes	3.178699253	3.59356489	3.187412794
ENSDARG00000061634	ENSDARG00000061634	zgc:158614	15:24769876-24780222	2.23272	0.00461398	yes	2.301965051	2.301483365	2.172993474
ENSDARG00000006220	ENSDARG00000006220	ugt1ab	9:10194766-10228512	1.17089	0.00461398	yes	1.024177752	1.380766096	1.166780622
ENSDARG00000071567	ENSDARG00000071567	TSTD1	14:30639026-30643319	1.69413	0.00461398	yes	1.675182555	1.699432865	1.786731699
ENSDARG00000091116	ENSDARG00000091116	pkhd1l1	19:23336918-23406026	2.41739	0.00461398	yes	2.345112238	2.242978136	2.703673738
ENSDARG00000058734	ENSDARG00000058734	prdx1	2:5748880-5758079	2.16086	0.00461398	yes	1.814770229	2.332126365	2.354871765
ENSDARG00000067652	ENSDARG00000067652	im:7150988	Zv9_NA807:23458-25714	1.5195	0.00461398	yes	1.456610507	1.69687001	1.472965801
ENSDARG00000033285	ENSDARG00000033285	gsto2	13:25620785-25626662	1.14899	0.00461398	yes	0.818274549	1.279358344	1.371447042
ENSDARG00000089936	ENSDARG00000089936	sepw2b	3:19993030-19995518	1.36536	0.00461398	yes	1.380296068	1.489441891	1.300793809
ENSDARG00000005713	ENSDARG00000005713	ethe1	16:57829772-57846922	1.60512	0.00461398	yes	1.550874062	1.80328108	1.524932907
ENSDARG00000019236	ENSDARG00000019236	gsr	14:40349420-40369597	1.81406	0.00461398	yes	1.614059731	1.878691563	2.003212218
ENSDARG00000061481	ENSDARG00000061481	CABZ01041812.1	24:30741885-30760340	2.88291	0.00461398	yes	2.712674072	2.840415967	3.142635856
ENSDARG00000073695	ENSDARG00000073695	mamdc2b	10:15677430-15701436	1.60898	0.00461398	yes	1.371476044	1.763956438	1.740253757
ENSDARG00000056638	ENSDARG00000056638	pir	11:30794452-30823480	1.37783	0.00461398	yes	1.169485305	1.442638666	1.573044974
ENSDARG00000055643	ENSDARG00000055643	cyb5a	24:3234918-3241719	1.72668	0.00461398	yes	1.664565553	1.852422518	1.737985334
ENSDARG00000075014	ENSDARG00000075014	sqstm1	14:14448388-14457584	1.11951	0.00461398	yes	0.978557297	1.285295861	1.158690545
ENSDARG00000089507	ENSDARG00000089507	ugt1b4	11:31171791-31204741	1.35667	0.00461398	yes	1.298017404	1.428661854	1.420398034
ENSDARG00000068876	ENSDARG00000068876	zgc:153031	18:14718419-14726045	1.24657	0.00461398	yes	1.254971769	1.280907121	1.28514223
ENSDARG00000002405	ENSDARG00000002405	si:ch211-225b11.1	5:22570099-22597916	1.70076	0.00461398	yes	1.696537951	1.753953295	1.731472347
ENSDARG00000007823	ENSDARG00000007823	atf3	20:37819240-37825345	0.862204	0.00461398	yes	1.061486446	0.61661833	0.953242352
ENSDARG00000044935	ENSDARG00000044935	hpdb	8:35868757-35879010	1.99091	0.00461398	yes	1.828077314	2.12779687	2.080261434
ENSDARG00000077549	ENSDARG00000077549	AIFM2	13:6974468-6990691	1.17524	0.00461398	yes	1.182026925	1.207849301	1.216585279
ENSDARG00000073786	ENSDARG00000073786	cmbl	24:17462106-17464413	1.21277	0.00461398	yes	1.115599677	1.031243388	1.523269419
ENSDARG00000002197	ENSDARG00000002197	pygl	13:37248654-37264905	0.712651	0.00461398	yes	0.562383939	0.845341042	0.79545467
ENSDARG00000003902	ENSDARG00000003902	ctsl.1	17:27315893-27320142	3.24181	0.00461398	yes	3.136193412	3.283866926	3.3761021
ENSDARG00000017034	ENSDARG00000017034	sqrdl	25:33451917-33474004	1.32781	0.00461398	yes	1.096663042	1.468984755	1.467294432
ENSDARG00000014646	ENSDARG00000014646	AOC2	3:33061159-33088539	1.58	0.00461398	yes	1.545604567	1.552886299	1.715841754
ENSDARG00000004748	ENSDARG00000004748	zgc:100868	3:39467969-39483264	1.05321	0.00461398	yes	0.869256847	1.118153344	1.229922834
ENSDARG00000027088	ENSDARG00000027088	ptgdsb	24:17576414-17578479	1.15731	0.00461398	yes	0.892575512	1.348104077	1.27203312
ENSDARG00000058005	ENSDARG00000058005	hgd	24:24567434-24578994	0.932468	0.00461398	yes	0.786620956	1.213834524	0.839259096
ENSDARG00000070353	ENSDARG00000070353	hoxc13a	23:36104487-36107430	1.38472	0.00461398	yes	1.556992037	1.384720549	1.278639882
ENSDARG00000056729	ENSDARG00000056729	her4.5	23:21763344-21765164	-0.97101	0.00461398	yes	-0.94706829	-0.880473698	-1.007141405
ENSDARG00000069841	ENSDARG00000069841	CU596012.2	19:50016429-50019698	-1.67928	0.00461398	yes	-1.34958542	-1.632641125	-2.060873496
ENSDARG00000067857	ENSDARG00000067857	pmt	Zv9_NA47:37272-47148	1.35026	0.00461398	yes	1.245300103	0.963411459	1.795512109
ENSDARG00000079119	ENSDARG00000079119	CR848759.2	15:18759620-18766815	0.931605	0.00461398	yes	0.939188693	1.050133306	0.881085154
ENSDARG00000022303	ENSDARG00000022303	hig1	2:1970654-1975857	1.5402	0.00461398	yes	1.546734568	1.504473723	1.646461139
ENSDARG00000058430	ENSDARG00000058430	PRPF3 (1 of 2)	16:10974183-10995156	-1.62617	0.00461398	yes	-1.727897896	-1.643016115	-1.441235904
